8.88,29.50,27.50,26.75,26.44,38.81;
14976,28.88,29.50,27.50,26.75,26.44,38.81;
16663,28.88,29.44,27.50,26.75,26.44,38.81;
7,28.88,29.50,27.50,26.75,26.44,38.81;
14976,28.88,29.50,27.50,26.75,26.44,38.81;
16663,28.88,29.44,27.50,26.75,26.44,38.81;
278,28.88,29.44,27.50,26.75,26.44,38.81;
490,28.88,29.44,27.50,26.75,26.44,38.81;
702,28.88,29.44,27.50,26.69,26.38,38.88;

1471,28.81,29.44,27.50,26.75,26.38,38.88;

3159,28.81,29.44,27.50,26.75,26.38,38.81;

4847,28.81,29.44,27.50,26.75,26.44,38.81;

6535,28.81,29.44,27.50,26.75,26.38,38.81;

8223,28.81,29.44,27.50,26.69,26.38,38.81;

9911,28.81,29.44,27.50,26.75,26.38,38.81;

11599,28.81,29.44,27.50,26.69,26.38,38.81;

13287,28.81,29.44,27.44,26.69,26.38,38.75;

14976,28.81,29.44,27.50,26.69,26.38,38.69;

16664,28.81,29.44,27.50,26.75,26.44,38.69;

18352,28.81,29.44,27.50,26.69,26.38,38.63;

20040,28.81,29.44,27.50,26.75,26.38,38.69;

21728,28.81,29.44,27.44,26.69,26.44,38.63;

23416,28.81,29.44,27.50,26.69,26.38,38.56;

25105,28.81,29.44,27.50,26.69,26.44,38.56;

26792,28.81,29.44,27.50,26.69,26.38,38.50;

28481,28.81,29.44,27.44,26.69,26.38,38.50;

30169,28.75,29.44,27.44,26.75,26.38,38.44;

31857,28.75,29.38,27.44,26.69,26.38,38.44;

33545,28.75,29.38,27.44,26.69,26.38,38.44;

35233,28.75,29.38,27.50,26.69,26.38,38.38;

36922,28.75,29.38,27.44,26.69,26.38,38.44;

38609,28.75,29.38,27.44,26.69,26.38,38.44;

40298,28.75,29.38,27.44,26.69,26.38,38.44;

41986,28.75,29.38,27.44,26.69,26.38,38.50;

43674,28.75,29.38,27.44,26.69,26.31,38.50;

45362,28.75,29.38,27.44,26.69,26.38,38.56;

47050,28.75,29.38,27.38,26.69,26.31,38.56;

48738,28.75,29.38,27.44,26.69,26.31,38.56;

50426,28.75,29.38,27.44,26.69,26.31,38.50;

52114,28.75,29.38,27.44,26.69,26.38,38.38;

53803,28.75,29.38,27.44,26.63,26.31,38.38;

55490,28.75,29.38,27.44,26.69,26.31,38.38;

57179,28.75,29.38,27.38,26.63,26.38,38.25;

58866,28.75,29.38,27.38,26.63,26.31,38.19;

60555,28.75,29.38,27.38,26.63,26.31,38.19;

62242,28.75,29.38,27.38,26.56,26.31,38.13;

